2018-10-03T13:05:34,559 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/ext/mongoose-storage-driver-coop-nio-fs.jar already exists, checking the checksum
2018-10-03T13:05:34,559 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/ext/mongoose-storage-driver-coop-nio-fs.jar" has the same checksum (ef1c2e0a) as source, skipping
2018-10-03T13:05:34,559 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/ext/mongoose-storage-driver-preempt.jar already exists, checking the checksum
2018-10-03T13:05:34,559 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/ext/mongoose-storage-driver-preempt.jar" has the same checksum (c5691eda) as source, skipping
2018-10-03T13:05:34,559 | DEBUG |  | main | Installer finished: "com.emc.mongoose.env.CoreResourcesToInstall"
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.mock.DummyStorageDriverMockExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.nio.fs.FileStorageDriverExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-storage-net.json already exists, checking the checksum
2018-10-03T13:05:34,584 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-storage-net.json" has the same checksum (d04f07c9) as source, skipping
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.mock.NettyStorageDriverMockExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.mock.CoopStorageDriverMockExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | Installer finished: "com.emc.mongoose.load.step.linear.LinearLoadStepExtension"
2018-10-03T13:05:34,584 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-item-output-delay.json already exists, checking the checksum
2018-10-03T13:05:34,585 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-item-output-delay.json" has the same checksum (fd0b322a) as source, skipping
2018-10-03T13:05:34,585 | DEBUG |  | main | Installer finished: "com.emc.mongoose.load.step.pipeline.PipelineLoadStepExtension"
2018-10-03T13:05:34,585 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.preempt.mock.PreemptStorageDriverMockExtension"
2018-10-03T13:05:34,585 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-storage-s3.json already exists, checking the checksum
2018-10-03T13:05:34,585 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-storage-s3.json" has the same checksum (128d46ed) as source, skipping
2018-10-03T13:05:34,585 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3StorageDriverExtension"
2018-10-03T13:05:34,587 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-storage-atmos.json already exists, checking the checksum
2018-10-03T13:05:34,587 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-storage-atmos.json" has the same checksum (8a433660) as source, skipping
2018-10-03T13:05:34,587 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.http.atmos.AtmosStorageDriverExtension"
2018-10-03T13:05:34,587 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-load-generator-weight.json already exists, checking the checksum
2018-10-03T13:05:34,587 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-load-generator-weight.json" has the same checksum (344824a) as source, skipping
2018-10-03T13:05:34,587 | DEBUG |  | main | Installer finished: "com.emc.mongoose.load.step.weighted.WeightedLoadStepExtension"
2018-10-03T13:05:34,587 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.nio.mock.NioStorageDriverMockExtension"
2018-10-03T13:05:34,587 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-storage-net-http.json already exists, checking the checksum
2018-10-03T13:05:34,588 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-storage-net-http.json" has the same checksum (5f378029) as source, skipping
2018-10-03T13:05:34,588 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.http.HttpStorageDriverExtension"
2018-10-03T13:05:34,588 | DEBUG |  | main | The file /home/user/.mongoose/4.1.0/config/defaults-storage-swift.json already exists, checking the checksum
2018-10-03T13:05:34,588 | DEBUG |  | main | The destination file "/home/user/.mongoose/4.1.0/config/defaults-storage-swift.json" has the same checksum (9eac5475) as source, skipping
2018-10-03T13:05:34,588 | DEBUG |  | main | Installer finished: "com.emc.mongoose.storage.driver.coop.netty.http.swift.SwiftStorageDriverExtension"
2018-10-03T13:05:34,588 | INFO |  | main | Available/installed extensions:
	dummy-mock --------------------> com.emc.mongoose.storage.driver.mock.DummyStorageDriverMockExtension
	fs ----------------------------> com.emc.mongoose.storage.driver.coop.nio.fs.FileStorageDriverExtension
	net ---------------------------> com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverExtension
	netty-mock --------------------> com.emc.mongoose.storage.driver.coop.netty.mock.NettyStorageDriverMockExtension
	coop-mock ---------------------> com.emc.mongoose.storage.driver.coop.mock.CoopStorageDriverMockExtension
	Load --------------------------> com.emc.mongoose.load.step.linear.LinearLoadStepExtension
	PipelineLoad ------------------> com.emc.mongoose.load.step.pipeline.PipelineLoadStepExtension
	preempt-mock ------------------> com.emc.mongoose.storage.driver.preempt.mock.PreemptStorageDriverMockExtension
	s3 ----------------------------> com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3StorageDriverExtension
	atmos -------------------------> com.emc.mongoose.storage.driver.coop.netty.http.atmos.AtmosStorageDriverExtension
	WeightedLoad ------------------> com.emc.mongoose.load.step.weighted.WeightedLoadStepExtension
	nio-mock ----------------------> com.emc.mongoose.storage.driver.coop.nio.mock.NioStorageDriverMockExtension
	http --------------------------> com.emc.mongoose.storage.driver.coop.netty.http.HttpStorageDriverExtension
	swift -------------------------> com.emc.mongoose.storage.driver.coop.netty.http.swift.SwiftStorageDriverExtension

